YearNumber,MonthNumber,MonthName,YearMonth,MonthlyRevenue,TotalOrders,AverageOrderValue
2017,1,January,2017-01,120312.87,789,125.982062
2017,2,February,2017-02,247303.02,1733,126.757057
2017,3,March,2017-03,374344.3,2641,124.781433
2017,4,April,2017-04,359927.23,2391,134.101054
2017,5,May,2017-05,506071.14,3660,122.357625
2017,6,June,2017-06,433038.6,3217,120.859224
2017,7,July,2017-07,498031.48,3969,110.208338
2017,8,August,2017-08,573971.68,4293,116.898509
2017,9,September,2017-09,624401.69,4243,129.248952
2017,10,October,2017-10,664219.43,4568,124.806356
2017,11,November,2017-11,1010271.37,7451,116.592195
2017,12,December,2017-12,743914.17,5624,117.931859
2018,1,January,2018-01,950030.36,7220,115.744439
2018,2,February,2018-02,844178.71,6694,110.033721
2018,3,March,2018-03,983213.44,7188,119.65601
2018,4,April,2018-04,996647.75,6934,124.971504
2018,5,May,2018-05,996517.68,6853,125.743555
2018,6,June,2018-06,865124.31,6160,122.227226
2018,7,July,2018-07,895507.22,6273,126.270053
2018,8,August,2018-08,854686.33,6452,117.920299
